# Generated by ChargePol,,,,,,,,
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude,
charge,time,zmin,zwidth,x,y,lon,lat,Date
pos,2350.420005,9.34184,2.175851,99.760844,-31.03911,-94.33696,29.4802,4/7/2023
pos,2351.467005,8.63084,2.65232,-55.022359,49.6659,-95.943932,30.20771,4/7/2023
pos,2358.525412,8.33791,2.30528,-100.288841,14.256835,-96.412735,29.888517,4/7/2023
pos,2359.496358,9.63951,1.994311,130.892697,26.585653,-94.007545,29.999655,4/7/2023
pos,2403.670299,8.28351,1.261021,120.205028,-21.777896,-94.124229,29.563684,4/7/2023
pos,2414.506922,10.11244,2.82892,-116.934215,-4.019091,-96.583801,29.72377,4/7/2023
pos,2423.767002,10.47223,1.658619,-92.81678,-34.101848,-96.330872,29.452591,4/7/2023
pos,2425.61125,9.05919,1.16502,-90.296814,13.54738,-96.308784,29.882122,4/7/2023
pos,2426.797374,7.93698,2.03397,-23.646694,85.735332,-95.617477,30.532856,4/7/2023
pos,2428.021602,9.71921,2.59417,134.001082,-6.225744,-93.979317,29.703878,4/7/2023
pos,2443.040122,11.28963,2.14814,-115.620688,-11.169501,-96.569397,29.659313,4/7/2023
pos,2455.907969,8.37714,2.9349,82.149389,-48.803627,-94.520668,29.320063,4/7/2023
pos,2462.618576,7.70591,2.902189,-72.825934,43.62929,-96.129219,30.153294,4/7/2023
pos,2529.436447,9.95446,1.933771,127.999613,-8.741527,-94.041901,29.6812,4/7/2023
pos,2536.999909,3.58576,1.58516,-59.241794,82.33913,-95.989807,30.502241,4/7/2023
